Strasse;Hausnr1;Hausnr2;Art;Wohnlage;Wohnlagenkennwert;Stadtteil
Achtern Hollerbusch;7;-33;U;gut;3,212;Sasel
Achtern Hollerbusch;16;-40;G;gut;2,99;Sasel
Achtern Hollerbusch;35;-53;U;gut;2,858;Sasel
Achtern Hollerbusch;42;-60;G;gut;2,791;Sasel
Achtern Hollerbusch;55;-75;U;gut;3,338;Sasel
Achtern Hollerbusch;62;-66;G;gut;3,112;Sasel
Achtern Hollerbusch;68;-70;G;gut;3,616;Sasel
Achtern Hollerbusch;77;-77;U;gut;3,947;Sasel
Achtern Moor;1;-15;S;normal;-14,242;Lurup
Achtern Sand;9;-21;U;gut;3,158;Rissen
Achtern Sand;14;-22;G;gut;2,942;Rissen
Achtern Sand;23;-41;U;gut;3,796;Rissen
Achtern Sand;28;-48;G;gut;4,052;Rissen
Achtern Styg;1;-37;U;normal;-2,031;Bahrenfeld
Achtern Styg;001a;-   001a;U;normal;-3,74;Bahrenfeld
Achtern Styg;2;-40;G;normal;-1,892;Bahrenfeld
Achtern Styg;41;-45;U;normal;-2,454;Bahrenfeld
Achtern Styg;42;-52;G;normal;-2,27;Bahrenfeld
Achtern Styg;54;-66;G;normal;-2,479;Bahrenfeld
Achtern Styg;068a;-72;G;normal;-2,521;Bahrenfeld
Achtern Styg;73;-75;U;normal;-2,353;Bahrenfeld
Achterschlag;1;-9;U;normal;-5,594;Bergedorf
Achterschlag;6;-6;G;normal;-5,567;Bergedorf
Achterschlag;11;-39;U;normal;-4,062;Bergedorf
Achterschlag;24;-62;G;normal;-1,841;Bergedorf
Achterschlag;61;-181;U;gut;0,459;Bergedorf
Achterschlag;062c;-160;G;gut;0,537;Bergedorf
Ackermannstrasse;8;-38;G;normal;-3,088;Hohenfelde
Ackermannstrasse;9;-37;U;normal;-2,902;Hohenfelde
Ackerstieg;1;-3;U;normal;-9,774;Lurup
Ackerstieg;2;-24;G;normal;-9,51;Lurup
Ackerstieg;5;-21;U;normal;-9,552;Lurup
Adalbert-Stifter-Weg;1;-1;U;normal;-0,756;Rahlstedt
Adalbert-Stifter-Weg;2;-2;G;normal;-0,817;Rahlstedt
Adalbert-Stifter-Weg;4;-4;G;normal;-0,711;Rahlstedt
Adalbertstrasse;1;-15;U;gut;3,963;Osdorf
Adalbertstrasse;6;-24;G;gut;4,122;Osdorf
Adebarweg;2;-120;G;gut;2,552;Rissen
Adebarweg;3;-111;U;gut;2,444;Rissen
Adenauerallee;8;-8;G;normal;-9,963;St. Georg
Adenauerallee;33;-33;U;normal;-9,5;St. Georg
Adenauerallee;41;-49;S;normal;-9,526;St. Georg
Adickesstrasse;1;-17;U;gut;5,661;Gross Flottbek
Adickesstrasse;2;-14;G;gut;5,705;Gross Flottbek
Adickesstrasse;18;-32;G;gut;5,814;Gross Flottbek
Adickesstrasse;21;-45;U;gut;5,632;Gross Flottbek
Adickesstrasse;34;-42;G;gut;5,657;Gross Flottbek
Adlerhorst;3;-17;U;normal;-1,183;Niendorf
Adlerhorst;4;-18;G;normal;-1,236;Niendorf
Adlerstrasse;13;-14;S;normal;-9,152;Barmbek-Nord
Adlerstrasse;15;-19;S;normal;-9,171;Barmbek-Nord
Adlerstrasse;20;-23;S;normal;-9,829;Barmbek-Nord
Adlerstrasse;24;-28;S;normal;-9,86;Barmbek-Nord
Admiralitaetstrasse;71;-77;S;normal;-8,512;Neustadt
Adolf-Koester-Damm;1;-102;S;normal;-2,402;Neuallermoehe
Adolf-Koester-Damm;104;-124;G;normal;-3,188;Neuallermoehe
Adolf-von-Elm-Hof;1;-12;S;normal;-7,274;Eissendorf
Adolf-Wagner-Strasse;1;-11;U;normal;-13,896;Eissendorf
Adolf-Wagner-Strasse;2;-16;G;normal;-13,541;Eissendorf
Adolph-Schoenfelder-Strasse;7;-21;U;normal;-8,731;Barmbek-Sued
Adolph-Schoenfelder-Strasse;23;-55;U;normal;-8,812;Barmbek-Sued
Adolph-Schoenfelder-Strasse;59;-67;U;normal;-9,421;Barmbek-Sued
Adolph-Schoenfelder-Strasse;66;-78;G;normal;-10,222;Barmbek-Sued
Afrikastrasse;2;-2;G;normal;-22,518;Kleiner Grasbrook
Agathe-Lasch-Weg;6;-6;G;gut;2,614;Othmarschen
Agathe-Lasch-Weg;15;-15;U;normal;-0,74;Othmarschen
Agathe-Lasch-Weg;21;-23;U;gut;6,248;Othmarschen
Agathe-Lasch-Weg;24;-26;G;gut;6,148;Othmarschen
Agathe-Lasch-Weg;25;-33;U;gut;6,31;Othmarschen
Agathenstrasse;1;-11;U;normal;-3,548;Eimsbuettel
Agathenstrasse;2;-12;G;normal;-3,668;Eimsbuettel
Agnes-Gierck-Weg;2;-20;G;normal;-13,761;Langenhorn
Agnes-Gierck-Weg;3;-5;U;normal;-13,741;Langenhorn
Agnes-Gierck-Weg;007a;-   017c;U;normal;-13,876;Langenhorn
Agnesstrasse;1;-23;U;gut;16,604;Winterhude
Agnesstrasse;2;-28;G;gut;16,651;Winterhude
Agnesstrasse;30;-62;G;gut;16,738;Winterhude
Agnesstrasse;31;-59;U;gut;16,767;Winterhude
Agnes-Wolffson-Strasse;1;-11;S;normal;-13,23;Neuallermoehe
Ahlbecker Weg;001a;-38;S;normal;-12,867;Rahlstedt
Ahlfeld;1;-7;U;normal;-4,07;Langenhorn
Ahlfeld;2;-6;G;normal;-4,124;Langenhorn
Ahlfeld;31;-47;U;normal;-4,115;Langenhorn
Ahlfeld;32;-48;G;normal;-4,14;Langenhorn
Ahlfeld;50;-68;G;normal;-4,182;Langenhorn
Ahlfeld;51;-71;U;normal;-4,148;Langenhorn
Ahlfeld;70;-78;G;normal;-3,963;Langenhorn
Ahlfeld;73;-77;U;normal;-3,992;Langenhorn
Ahornallee;2;-44;G;normal;-1,436;Lokstedt
Ahornallee;3;-35;U;normal;-1,431;Lokstedt
Ahornkamp;1;-9;U;normal;-3,954;Ohlsdorf
Ahornkamp;6;-16;G;normal;-4,028;Ohlsdorf
Ahornkamp;11;-11;U;normal;-4,248;Ohlsdorf
Ahornkamp;18;-20;G;normal;-4,246;Ohlsdorf
Ahornkamp;22;-30;G;normal;-4,594;Ohlsdorf
Ahornstrasse;1;-19;U;gut;1,192;Marienthal
Ahornstrasse;2;-16;G;gut;1,16;Marienthal
Ahornstrasse;21;-27;U;gut;1,286;Marienthal
Ahornweg;1;-25;U;gut;6,956;Bergstedt
Ahornweg;002a;-30;G;gut;6,865;Bergstedt
Ahrensburger Platz;1;-3;U;gut;3,824;Volksdorf
Ahrensburger Platz;2;-4;G;gut;3,962;Volksdorf
Ahrensburger Platz;5;-7;U;gut;3,991;Volksdorf
Ahrensburger Stieg;4;-26;G;gut;3,267;Volksdorf
Ahrensburger Stieg;15;-25;U;gut;3,659;Volksdorf
Ahrensburger Strasse;2;-50;G;normal;-12,326;Wandsbek
Ahrensburger Strasse;3;-7;U;normal;-10,422;Wandsbek
Ahrensburger Strasse;11;-17;U;normal;-9,045;Wandsbek
Ahrensburger Strasse;19;-29;U;normal;-8,856;Wandsbek
Ahrensburger Strasse;39;-39;U;normal;-10,518;Wandsbek
Ahrensburger Strasse;55;-65;U;normal;-9,356;Wandsbek
Ahrensburger Strasse;60;-102;G;normal;-11,931;Wandsbek
Ahrensburger Strasse;69;-99;U;normal;-10,656;Wandsbek
Ahrensburger Strasse;103;-   119c;U;normal;-12,848;Wandsbek
Ahrensburger Strasse;110;-168;G;normal;-12,419;Wandsbek
Ahrensburger Strasse;125;-141;U;normal;-13,159;Wandsbek
Ahrensburger Strasse;145;-151;U;normal;-13,508;Wandsbek
Ahrensburger Strasse;165;-195;U;normal;-11,481;Wandsbek
Ahrensburger Strasse;169;-180;S;normal;-8,685;Wandsbek
Ahrensburger Weg;1;-29;U;gut;2,432;Volksdorf
Ahrensburger Weg;002a;-18;G;gut;2,545;Volksdorf
Ahrensburger Weg;31;-41;U;gut;1,302;Volksdorf
Ahrensburger Weg;47;-57;U;gut;3,438;Volksdorf
Ahrensburger Weg;058a;-78;G;gut;3,664;Volksdorf
Ahrensburger Weg;67;-81;U;gut;3,933;Volksdorf
Ahrensburger Weg;081a;-103;U;gut;3,948;Volksdorf
Ahrensburger Weg;84;-90;G;gut;3,652;Volksdorf
Ahrensburger Weg;92;-114;G;gut;4,129;Volksdorf
Ahrensburger Weg;105a;-109;U;gut;4,358;Volksdorf
Ahrensburger Weg;116;-144;G;gut;4,874;Volksdorf
Ahrensburger Weg;123;-   129b;U;gut;5,005;Volksdorf
Ahrensburger Weg;135a;-143;U;gut;4,41;Volksdorf
Ahrenshooper Strasse;2;-2;G;normal;-7,644;Rahlstedt
Ahrenshooper Strasse;11;-21;U;normal;-7,264;Rahlstedt
Ahrenshooper Strasse;12;-40;G;normal;-7,148;Rahlstedt
Akazienallee;1;-19;U;normal;-3,75;Fuhlsbuettel
Akazienallee;2;-32;G;normal;-3,694;Fuhlsbuettel
Akazienweg;1;-25;U;gut;4,544;Blankenese
Akazienweg;2;-28;G;gut;4,499;Blankenese
Akeleiweg;1;-13;U;normal;-2,7;Bahrenfeld
Akeleiweg;002a;-   008h;G;normal;-2,699;Bahrenfeld
Akeleiweg;15;-37;U;normal;-2,598;Bahrenfeld
Akeleiweg;28;-34;G;normal;-2,585;Bahrenfeld
Akeleiweg;39;-49;U;normal;-1,832;Bahrenfeld
Aladinweg;1;-29;U;normal;-2,84;Billstedt
Aladinweg;2;-50;G;normal;-3,27;Billstedt
Aladinweg;31;-31;U;normal;-4,29;Billstedt
Aladinweg;52;-82;G;normal;-13,327;Billstedt
Aladinweg;61;-61;U;normal;-11,385;Billstedt
Alardusstrasse;1;-13;U;gut;0,371;Eimsbuettel
Alardusstrasse;2;-18;G;gut;0,621;Eimsbuettel
Alaskaweg;4;-34;G;normal;-9,367;Rahlstedt
Alaskaweg;9;-13;U;normal;-9,252;Rahlstedt
Alaskaweg;15;-29;U;normal;-9,355;Rahlstedt
Albatrosweg;1;-41;U;normal;-9,223;Billstedt
Albatrosweg;2;-46;G;normal;-9,111;Billstedt
Alberichstieg;1;-5;U;gut;5,386;Rissen
Alberichstieg;2;-12;G;gut;5,211;Rissen
Albershardtweg;1;-7;S;normal;-8,388;Finkenwerder
Albershof;1;-25;S;normal;-20,904;Hausbruch
Albers-Schoenberg-Stieg;1;-21;U;normal;-8,658;Barmbek-Nord
Albers-Schoenberg-Stieg;2;-12;G;normal;-8,403;Barmbek-Nord
Albers-Schoenberg-Weg;1;-7;S;normal;-5,679;Barmbek-Nord
Albert-Gebel-Strasse;2;-28;G;normal;-8,78;Bergedorf
Albertine-Assor-Strasse;2;-23;S;normal;-3,759;Schnelsen
Albertine-Assor-Strasse;011a;-   017e;U;normal;-3,882;Schnelsen
Albertinenstieg;001a;-4;S;normal;-3,922;Schnelsen
Albertiweg;1;-27;U;gut;7,402;Othmarschen
Albertiweg;002a;-14;G;gut;7,101;Othmarschen
Albertiweg;20;-34;G;gut;7,613;Othmarschen
Albert-Schaefer-Weg;1;-74;S;normal;-4,928;Eissendorf
Albert-Schweitzer-Ring;39;-39;U;normal;-7,15;Tonndorf
Albrechtstrasse;001a;-   003c;U;normal;-9,374;Eidelstedt
Albrechtstrasse;002a;-   006c;G;normal;-9,461;Eidelstedt
Aldenrathsweg;1;-7;U;normal;-6,881;Barmbek-Nord
Aldenrathsweg;2;-6;G;normal;-6,932;Barmbek-Nord
Alemannenweg;013b;-   013g;U;normal;-14,652;Hamm
Alexanderstrasse;2;-18;G;normal;-8,672;St. Georg
Alexanderstrasse;32;-32;G;normal;-8,626;St. Georg
Alexander-Zinn-Strasse;1;-3;U;gut;5,502;Gross Flottbek
Alexander-Zinn-Strasse;002a;-   002c;G;gut;5,066;Gross Flottbek
Alexander-Zinn-Strasse;4;-22;G;gut;9,169;Gross Flottbek
Alexander-Zinn-Strasse;5;-5;U;gut;9,216;Gross Flottbek
Alexander-Zinn-Strasse;7;-15;U;gut;9,414;Gross Flottbek
Alexander-Zinn-Strasse;17;-27;U;gut;9,48;Gross Flottbek
Alfred-Beit-Weg;2;-8;S;gut;21,531;Harvestehude
Alfred-Jahncke-Ring;1;-53;S;gut;1,083;Poppenbuettel
Alfred-Johann-Levy-Strasse;1;-12;S;normal;-1,399;Barmbek-Nord
Alfredstrasse;1;-1;U;normal;-8,093;Borgfelde
Alfredstrasse;29;-61;U;normal;-8,003;Borgfelde
Alfredstrasse;34;-58;G;normal;-7,955;Borgfelde
Allende-Platz;3;-3;U;gut;2,766;Rotherbaum
Allensteiner Strasse;1;-19;U;normal;-2,684;Wandsbek
Allensteiner Strasse;2;-28;G;normal;-2,709;Wandsbek
Allermoeher Deich;17;-35;U;normal;-2,276;Allermoehe
Allermoeher Deich;47;-419;U;gut;0,266;Allermoehe
Allermoeher Deich;50;-94;G;normal;-0,577;Allermoehe
Allermoeher Deich;108;-134;G;gut;0,364;Allermoehe
Allermoeher Deich;240;-240;G;gut;1,425;Allermoehe
Allermoeher Deich;260;-370;G;gut;0,25;Allermoehe
Allermoeher Deich;431;-483;U;gut;1,627;Allermoehe
Allermoeher Deich;484;-516;G;gut;3,081;Allermoehe
Allermoeher Werftstegel;2;-23;S;normal;-0,623;Allermoehe
Allerskehre;1;-54;S;normal;-8,266;Steilshoop
Allerskehre;2;-42;G;normal;-8,301;Steilshoop
Allhornring;1;-19;U;normal;-0,89;Volksdorf
Allhornring;4;-51;S;gut;1,968;Volksdorf
Allhornring;8;-48;G;gut;1,142;Volksdorf
Allhornring;21;-37;U;gut;1,773;Volksdorf
Allhornstieg;1;-9;S;gut;1,834;Volksdorf
Allhornweg;1;-16;S;gut;1,833;Volksdorf
Allmende;2;-6;S;gut;1,169;Neugraben-Fischbek
Alpenrosenweg;001a;-   009d;U;normal;-9,965;Eidelstedt
Alpenrosenweg;2;-32;G;normal;-7,01;Eidelstedt
Alpenrosenweg;033a;-35;U;normal;-9,621;Eidelstedt
Alpenrosenweg;034a;-44;G;normal;-5,309;Eidelstedt
Alpenrosenweg;41;-41;U;normal;-9,432;Eidelstedt
Alpenrosenweg;46;-52;G;normal;-5,529;Eidelstedt
Alpenrosenweg;64;-78;G;normal;-9,605;Eidelstedt
Alphonsstrasse;1;-11;U;gut;0,432;Marienthal
Alphonsstrasse;13;-21;U;gut;-0,131;Marienthal
Alsenplatz;1;-5;U;normal;-10,562;Altona-Nord
Alsenplatz;2;-2;G;normal;-14,199;Altona-Nord
Alsenstrasse;1;-15;U;normal;-14,883;Altona-Nord
Alsenstrasse;17;-29;U;normal;-14,683;Altona-Nord
Alsterallee;1;-19;U;gut;1,234;Duvenstedt
Alsterallee;2;-8;G;gut;0,436;Duvenstedt
Alsterarkaden;9;-13;U;normal;-4,493;Neustadt
Alsterarkaden;18;-20;G;normal;-4,562;Neustadt
Alsterberg;1;-   003b;U;normal;-11,924;Alsterdorf
Alsterberg;5;-21;U;normal;-11,511;Alsterdorf
Alsterberg;12;-22;G;normal;-11,17;Alsterdorf
Alsterblick;1;-   015b;U;gut;5,475;Wohldorf-Ohlstedt
Alsterblick;2;-58;G;gut;4,372;Wohldorf-Ohlstedt
Alsterblick;17;-   031c;U;gut;5,602;Wohldorf-Ohlstedt
Alsterblick;33;-39;U;gut;5,367;Wohldorf-Ohlstedt
Alsterblick;43;-91;U;gut;4,622;Wohldorf-Ohlstedt
Alsterchaussee;1;-21;U;gut;20,57;Rotherbaum
Alsterchaussee;6;-28;G;gut;20,94;Rotherbaum
Alsterchaussee;36;-38;G;gut;20,778;Rotherbaum
Alsterdorfer Damm;1;-7;U;gut;4,664;Alsterdorf
Alsterdorfer Damm;4;-8;G;gut;4,291;Alsterdorf
Alsterdorfer Damm;10;-14;G;gut;4,344;Alsterdorf
Alsterdorfer Damm;15;-17;U;gut;4,192;Alsterdorf
Alsterdorfer Damm;19;-23;U;gut;0,506;Alsterdorf
Alsterdorfer Damm;22;-24;G;gut;0,358;Alsterdorf
Alsterdorfer Markt;4;-14;S;normal;-8,266;Alsterdorf
Alsterdorfer Strasse;2;-34;G;normal;-1,311;Alsterdorf
Alsterdorfer Strasse;3;-41;U;normal;-0,847;Alsterdorf
Alsterdorfer Strasse;40;-70;G;normal;-0,983;Alsterdorf
Alsterdorfer Strasse;59;-85;U;gut;-0,4;Alsterdorf
Alsterdorfer Strasse;76;-84;G;gut;1,261;Alsterdorf
Alsterdorfer Strasse;86;-90;G;gut;-0,422;Alsterdorf
Alsterdorfer Strasse;92;-110;G;normal;-3,983;Alsterdorf
Alsterdorfer Strasse;99;-127;U;normal;-3,916;Alsterdorf
Alsterdorfer Strasse;145;-165;U;gut;-0,314;Alsterdorf
Alsterdorfer Strasse;175;-205;U;normal;-1,833;Alsterdorf
Alsterdorfer Strasse;182;-192;G;normal;-4,734;Alsterdorf
Alsterdorfer Strasse;194;-240;G;normal;-2,984;Alsterdorf
Alsterdorfer Strasse;229;-247;U;normal;-0,585;Alsterdorf
Alsterdorfer Strasse;253;-281;U;normal;-1,76;Alsterdorf
Alsterdorfer Strasse;254;-286;G;normal;-3,315;Alsterdorf
Alsterdorfer Strasse;283;-303;U;gut;0,319;Alsterdorf
Alsterdorfer Strasse;292;-306;G;gut;0,707;Alsterdorf
Alsterdorfer Strasse;322;-386;G;gut;3,798;Alsterdorf
Alsterdorfer Strasse;331;-365;U;gut;0,635;Alsterdorf
Alsterdorfer Strasse;371a;-   389d;U;normal;-0,58;Alsterdorf
Alsterdorfer Strasse;388;-416;G;gut;4,848;Alsterdorf
Alsterdorfer Strasse;436;-538;G;normal;-8,394;Alsterdorf
Alsterdorfer Strasse;459;-537;U;normal;-4,137;Alsterdorf
Alsterdorfer Strasse;560;-570;G;normal;-2,182;Alsterdorf
Alsterdorfer Strasse;573;-581;U;normal;-2,47;Alsterdorf
Alsterfurt;2;-8;G;gut;2,236;Poppenbuettel
Alsterfurt;3;-7;U;gut;2,282;Poppenbuettel
Alsterglacis;4;-8;G;gut;11,032;Rotherbaum
Alsterhang;2;-12;G;gut;5,275;Wohldorf-Ohlstedt
Alsterhoehe;1;-12;S;gut;6,106;Wohldorf-Ohlstedt
Alsterhoehe;2;-2;G;gut;6,06;Wohldorf-Ohlstedt
Alsterkamp;2;-   032e;G;gut;21,764;Harvestehude
Alsterkamp;3;-19;U;gut;22,266;Harvestehude
Alsterkamp;23;-43;U;gut;21,537;Harvestehude
Alsterkehre;2;-8;G;gut;2,088;Poppenbuettel
Alsterkrugchaussee;106;-132;G;normal;-2,034;Gross Borstel
Alsterkrugchaussee;176;-180;G;normal;-2,637;Gross Borstel
Alsterkrugchaussee;184;-284;G;normal;-2,89;Gross Borstel
Alsterkrugchaussee;286;-286;G;normal;-3,267;Gross Borstel
Alsterkrugchaussee;290;-322;G;normal;-6,199;Gross Borstel
Alsterkrugchaussee;315;-343;U;normal;-7,872;Gross Borstel
Alsterkrugchaussee;338;-350;G;normal;-6,595;Gross Borstel
Alsterkrugchaussee;372;-396;G;normal;-15,685;Gross Borstel
Alsterkrugchaussee;387;-421;U;normal;-23,127;Gross Borstel
Alsterkrugchaussee;418;-442;G;normal;-16,344;Gross Borstel
Alsterkrugchaussee;463;-549;U;normal;-10,61;Gross Borstel
Alsterkrugchaussee;468;-482;G;normal;-9,263;Gross Borstel
Alsterkrugchaussee;508;-546;G;normal;-5,128;Gross Borstel
Alsterkrugchaussee;551;-589;U;normal;-6,247;Gross Borstel
Alsterkrugchaussee;554;-572;G;normal;-5,428;Gross Borstel
Alsterkrugchaussee;576;-586;G;normal;-5,356;Gross Borstel
Alsterkrugchaussee;588a;-600;G;normal;-4,643;Gross Borstel
Alsterkrugchaussee;591;-603;U;normal;-6,135;Gross Borstel
Alsterkrugchaussee;607;-631;U;normal;-5,598;Gross Borstel
Alsterkrugchaussee;608;-612;G;normal;-5,335;Gross Borstel
Alsterkrueger Kehre;001a;-8;S;gut;0,924;Alsterdorf
Alsterredder;1;-7;U;gut;1,076;Sasel
Alsterredder;2;-   020c;G;gut;1,7;Sasel
Alsterredder;15;-17;U;gut;0,597;Sasel
Alsterredder;19;-23;U;gut;0,712;Sasel
Alsterredder;22;-24;G;gut;1,063;Sasel
Alsterredder;25;-31;U;gut;0,362;Sasel
Alsterredder;32;-44;G;gut;2,79;Sasel
Alsterredder;37;-63;U;gut;1,902;Sasel
Alsterredder;46;-62;G;gut;3,159;Sasel
Alsterstieg;1;-1;U;gut;2,223;Wellingsbuettel
Alsterstieg;2;-2;G;gut;2,696;Wellingsbuettel
Alsterterrasse;5;-5;U;gut;15,833;Rotherbaum
Alsterterrasse;010a;-   010a;G;gut;15,092;Rotherbaum
Alstertwiete;1;-15;U;gut;-0,204;St. Georg
Alstertwiete;2;-32;S;gut;-0,336;St. Georg
Alsterufer;15;-   020c;S;gut;20,764;Rotherbaum
Alsterufer;34;-36;S;gut;21,493;Rotherbaum
Alsterufer;44;-48;G;gut;21,274;Rotherbaum
Alsterweg;1;-7;U;gut;1,92;Hummelsbuettel
Alsterweg;4;-8;G;gut;1,755;Hummelsbuettel
Alsterweg;11;-41;U;gut;2,33;Hummelsbuettel
Alsterweg;14;-20;G;gut;2,373;Hummelsbuettel
Alsterweg;24;-40;G;gut;2,38;Hummelsbuettel
Alsterweg;43;-69;U;gut;2,198;Hummelsbuettel
Alsterweg;71;-83;U;gut;1,413;Hummelsbuettel
Alsterwiesen;1;-8;S;gut;4,776;Lemsahl-Mellingstedt
Alte Aue;1;-17;U;normal;-7,848;Finkenwerder
Alte Aue;2;-30;G;normal;-7,715;Finkenwerder
Alte Berner Strasse;1;-45;U;normal;-3,241;Rahlstedt
Alte Berner Strasse;10;-34;G;normal;-3,115;Rahlstedt
Alte Berner Strasse;36;-50;G;normal;-3,839;Rahlstedt
Alte Dorfstrasse;001b;-23;U;gut;2,716;Wohldorf-Ohlstedt
Alte Dorfstrasse;10;-50;G;gut;2,614;Wohldorf-Ohlstedt
Alte Dorfstrasse;25;-41;U;gut;2,716;Wohldorf-Ohlstedt
Alte Dorfstrasse;51;-51;U;gut;3,399;Wohldorf-Ohlstedt
Alte Elbgaustrasse;1;-24;S;normal;-7,606;Eidelstedt
Alte Franzosenheide;1;-17;U;normal;-1,955;Schnelsen
Alte Holstenstrasse;1;-35;U;normal;-14,418;Lohbruegge
Alte Holstenstrasse;10;-24;G;normal;-14,372;Lohbruegge
Alte Holstenstrasse;41;-53;U;normal;-14,515;Lohbruegge
Alte Holstenstrasse;44;-44;G;normal;-13,963;Lohbruegge
Alte Holstenstrasse;54;-58;G;normal;-7,21;Lohbruegge
Alte Holstenstrasse;57;-57;U;normal;-4,774;Lohbruegge
Alte Holstenstrasse;61;-61;U;normal;-5,475;Lohbruegge
Alte Holstenstrasse;62;-62;G;normal;-7,029;Lohbruegge
Alte Holstenstrasse;64;-84;G;normal;-10,254;Lohbruegge
Alte Holstenstrasse;65;-67;U;normal;-5,611;Lohbruegge
Alte Kollaustrasse;24;-   034b;G;normal;-2,354;Lokstedt
Alte Kollaustrasse;52;-62;G;normal;-2,276;Lokstedt
Alte Koenigstrasse;1;-43;U;normal;-1,95;Altona-Altstadt
Alte Koenigstrasse;4;-18;G;normal;-2,067;Altona-Altstadt
Alte Landstrasse;23;-33;U;normal;-3,57;Poppenbuettel
Alte Landstrasse;32;-98;G;normal;-0,577;Poppenbuettel
Alte Landstrasse;35;-47;U;normal;-3,464;Poppenbuettel
Alte Landstrasse;93;-115;U;normal;-2,782;Poppenbuettel
Alte Landstrasse;102;-126;G;gut;-0,567;Poppenbuettel
Alte Landstrasse;115a;-139;U;normal;-2,711;Poppenbuettel
Alte Landstrasse;141;-159;U;normal;-2,418;Poppenbuettel
Alte Landstrasse;142;-200;G;normal;-0,697;Poppenbuettel
